,wap,close,count,high,low,open,volume
2016-04-11 19:15:20,205.475,205.47,6,205.48,205.47,205.48,10
2016-04-11 19:15:25,205.473,205.48,3,205.48,205.47,205.47,3
2016-04-11 19:15:30,205.471,205.47,5,205.48,205.47,205.48,11
2016-04-11 19:15:35,205.458,205.45,76,205.47,205.45,205.47,191
2016-04-11 19:15:40,205.441,205.44,31,205.46,205.44,205.45,173
2016-04-11 19:15:45,205.44,205.44,20,205.45,205.44,205.44,51
2016-04-11 19:15:50,205.424,205.43,30,205.43,205.42,205.43,92
2016-04-11 19:15:55,205.43,205.44,41,205.44,205.42,205.42,72
2016-04-11 19:16:00,205.438,205.44,17,205.44,205.43,205.44,42
2016-04-11 19:16:05,205.434,205.45,75,205.45,205.42,205.44,138
2016-04-11 19:16:10,205.464,205.48,20,205.48,205.45,205.45,39
2016-04-11 19:16:15,205.479,205.48,41,205.49,205.47,205.48,76
2016-04-11 19:16:20,205.47,205.47,1,205.48,205.47,205.47,1
2016-04-11 19:16:25,205.477,205.48,5,205.48,205.47,205.47,8
2016-04-11 19:16:30,205.48,205.48,20,205.48,205.48,205.48,42
2016-04-11 19:16:35,205.468,205.46,32,205.48,205.46,205.47,70
2016-04-11 19:16:40,205.47,205.47,14,205.47,205.46,205.46,39
2016-04-11 19:16:45,205.47,205.46,17,205.48,205.46,205.47,33
2016-04-11 19:16:50,205.464,205.46,18,205.47,205.45,205.47,24
2016-04-11 19:16:55,205.454,205.45,3,205.46,205.45,205.46,7
2016-04-11 19:17:00,205.46,205.46,1,205.46,205.46,205.46,1
2016-04-11 19:17:05,205.455,205.46,1,205.46,205.45,205.46,2
2016-04-11 19:17:10,205.459,205.47,54,205.47,205.45,205.45,262
2016-04-11 19:17:15,205.479,205.47,5,205.48,205.47,205.48,14
2016-04-11 19:17:20,205.48,205.48,1,205.48,205.48,205.48,1
2016-04-11 19:17:25,205.47,205.47,1,205.47,205.47,205.47,1
2016-04-11 19:17:30,205.475,205.48,2,205.48,205.47,205.47,2
2016-04-11 19:17:35,205.474,205.48,11,205.48,205.47,205.48,18
2016-04-11 19:17:40,205.459,205.46,33,205.47,205.45,205.47,63
2016-04-11 19:17:45,205.46,205.46,12,205.46,205.45,205.46,20
2016-04-11 19:17:50,205.458,205.46,5,205.46,205.45,205.46,5
2016-04-11 19:17:55,205.452,205.45,83,205.47,205.44,205.45,371
2016-04-11 19:18:00,205.459,205.46,19,205.46,205.45,205.45,33
2016-04-11 19:18:05,205.451,205.45,5,205.46,205.45,205.46,11
2016-04-11 19:18:10,205.44,205.44,7,205.44,205.44,205.44,26
2016-04-11 19:18:15,205.445,205.46,21,205.46,205.44,205.44,35
2016-04-11 19:18:20,205.455,205.45,2,205.46,205.45,205.46,2
2016-04-11 19:18:25,205.45,205.45,11,205.45,205.45,205.45,12
2016-04-11 19:18:30,205.453,205.45,2,205.46,205.45,205.46,3
2016-04-11 19:18:35,205.45,205.45,4,205.45,205.45,205.45,5
2016-04-11 19:18:40,205.433,205.43,106,205.45,205.42,205.45,326
2016-04-11 19:18:45,205.426,205.43,5,205.43,205.42,205.42,5
2016-04-11 19:18:50,205.437,205.44,22,205.45,205.42,205.42,34
2016-04-11 19:18:55,205.447,205.45,65,205.45,205.44,205.44,133
2016-04-11 19:19:00,205.442,205.44,31,205.45,205.44,205.45,136
2016-04-11 19:19:05,205.439,205.45,21,205.45,205.43,205.43,32
2016-04-11 19:19:10,205.446,205.45,12,205.45,205.44,205.45,28
2016-04-11 19:19:15,205.44,205.44,50,205.45,205.44,205.44,266
2016-04-11 19:19:20,205.445,205.45,2,205.45,205.44,205.45,2
2016-04-11 19:19:25,205.44,205.44,11,205.45,205.43,205.45,24
2016-04-11 19:19:30,205.431,205.43,4,205.44,205.43,205.43,16
2016-04-11 19:19:35,205.419,205.41,44,205.43,205.41,205.42,88
2016-04-11 19:19:40,205.426,205.42,23,205.44,205.42,205.42,37
2016-04-11 19:19:45,205.42,205.42,29,205.42,205.42,205.42,49
2016-04-11 19:19:50,205.42,205.42,2,205.43,205.42,205.42,3
2016-04-11 19:19:55,205.407,205.39,74,205.41,205.39,205.41,182
2016-04-11 19:20:00,205.388,205.38,41,205.4,205.37,205.39,95
2016-04-11 19:20:05,205.379,205.39,43,205.39,205.36,205.37,62
2016-04-11 19:20:10,205.38,205.39,10,205.39,205.38,205.38,46
2016-04-11 19:20:15,205.408,205.42,41,205.42,205.39,205.39,72
2016-04-11 19:20:20,205.425,205.43,18,205.43,205.42,205.42,36
2016-04-11 19:20:25,205.431,205.44,28,205.45,205.42,205.43,83
2016-04-11 19:20:30,205.43,205.43,5,205.43,205.43,205.43,6
2016-04-11 19:20:35,205.42,205.42,1,205.42,205.42,205.42,1
2016-04-11 19:20:40,205.43,205.43,2,205.43,205.43,205.43,2
2016-04-11 19:20:45,205.43,205.43,0,205.43,205.43,205.43,0
2016-04-11 19:20:50,205.438,205.44,30,205.46,205.43,205.43,96
2016-04-11 19:20:55,205.447,205.45,24,205.45,205.44,205.44,40
2016-04-11 19:21:00,205.457,205.46,11,205.46,205.45,205.46,20
2016-04-11 19:21:05,205.452,205.46,20,205.46,205.45,205.45,31
2016-04-11 19:21:10,205.454,205.46,7,205.46,205.45,205.45,13
2016-04-11 19:21:15,205.442,205.42,6,205.45,205.42,205.45,8
2016-04-11 19:21:20,205.422,205.42,8,205.43,205.42,205.43,9
2016-04-11 19:21:25,205.41,205.41,10,205.41,205.41,205.41,17
2016-04-11 19:21:30,205.399,205.39,7,205.41,205.39,205.41,11
2016-04-11 19:21:35,205.406,205.42,21,205.42,205.4,205.4,31
2016-04-11 19:21:40,205.408,205.41,50,205.42,205.4,205.41,83
2016-04-11 19:21:45,205.41,205.41,20,205.42,205.4,205.41,37
2016-04-11 19:21:50,205.4,205.4,22,205.4,205.4,205.4,36
2016-04-11 19:21:55,205.403,205.4,3,205.41,205.4,205.41,3
2016-04-11 19:22:00,205.391,205.39,16,205.4,205.39,205.4,34
2016-04-11 19:22:05,205.39,205.39,7,205.4,205.39,205.39,32
2016-04-11 19:22:10,205.391,205.39,14,205.4,205.38,205.39,15
2016-04-11 19:22:15,205.38,205.38,8,205.39,205.37,205.38,10
2016-04-11 19:22:20,205.37,205.37,2,205.37,205.37,205.37,2
2016-04-11 19:22:25,205.37,205.38,21,205.38,205.36,205.37,37
2016-04-11 19:22:30,205.371,205.37,72,205.38,205.37,205.37,112
2016-04-11 19:22:35,205.357,205.35,20,205.38,205.35,205.37,24
2016-04-11 19:22:40,205.363,205.38,26,205.38,205.35,205.35,34
2016-04-11 19:22:45,205.374,205.38,7,205.38,205.37,205.38,7
2016-04-11 19:22:50,205.379,205.38,17,205.38,205.37,205.38,76
2016-04-11 19:22:55,205.378,205.38,4,205.38,205.37,205.38,5
2016-04-11 19:23:00,205.374,205.38,6,205.38,205.37,205.38,21
2016-04-11 19:23:05,205.373,205.38,9,205.38,205.37,205.38,21
2016-04-11 19:23:10,205.38,205.38,4,205.38,205.38,205.38,4
2016-04-11 19:23:15,205.367,205.37,21,205.38,205.36,205.37,30
2016-04-11 19:23:20,205.368,205.37,5,205.37,205.36,205.36,5
2016-04-11 19:23:25,205.37,205.37,2,205.37,205.37,205.37,2
2016-04-11 19:23:30,205.362,205.37,98,205.38,205.36,205.38,282
2016-04-11 19:23:35,205.364,205.38,27,205.38,205.36,205.37,42
2016-04-11 19:23:40,205.38,205.38,4,205.38,205.38,205.38,4
2016-04-11 19:23:45,205.38,205.38,6,205.38,205.37,205.38,6
2016-04-11 19:23:50,205.38,205.38,0,205.38,205.37,205.38,0
2016-04-11 19:23:55,205.37,205.37,36,205.38,205.37,205.38,56
2016-04-11 19:24:00,205.368,205.36,8,205.37,205.36,205.37,11
2016-04-11 19:24:05,205.36,205.36,0,205.36,205.36,205.36,0
2016-04-11 19:24:10,205.37,205.37,10,205.37,205.37,205.37,12
2016-04-11 19:24:15,205.371,205.37,30,205.38,205.36,205.36,65
2016-04-11 19:24:20,205.362,205.36,9,205.37,205.36,205.36,19
2016-04-11 19:24:25,205.348,205.34,101,205.37,205.33,205.36,347
2016-04-11 19:24:30,205.348,205.36,27,205.36,205.34,205.34,48
2016-04-11 19:24:35,205.36,205.36,5,205.36,205.36,205.36,5
2016-04-11 19:24:40,205.35,205.36,1,205.36,205.35,205.36,1
2016-04-11 19:24:45,205.35,205.35,46,205.36,205.34,205.36,115
2016-04-11 19:24:50,205.351,205.35,8,205.36,205.35,205.35,18
2016-04-11 19:24:55,205.34,205.34,4,205.34,205.34,205.34,60
2016-04-11 19:25:00,205.34,205.34,57,205.35,205.33,205.34,177
2016-04-11 19:25:05,205.339,205.33,16,205.34,205.33,205.34,57
2016-04-11 19:25:10,205.328,205.34,68,205.34,205.32,205.33,118
2016-04-11 19:25:15,205.317,205.3,58,205.34,205.3,205.33,92
2016-04-11 19:25:20,205.3,205.3,32,205.31,205.29,205.31,72
2016-04-11 19:25:25,205.29,205.29,5,205.29,205.29,205.29,6
2016-04-11 19:25:30,205.313,205.31,46,205.34,205.29,205.3,109
2016-04-11 19:25:35,205.31,205.31,14,205.31,205.31,205.31,27
2016-04-11 19:25:40,205.312,205.32,26,205.32,205.31,205.31,47
2016-04-11 19:25:45,205.32,205.32,0,205.32,205.32,205.32,0
2016-04-11 19:25:50,205.304,205.3,27,205.32,205.3,205.32,76
2016-04-11 19:25:55,205.308,205.3,20,205.32,205.3,205.3,30
2016-04-11 19:26:00,205.299,205.3,17,205.3,205.29,205.29,20
2016-04-11 19:26:05,205.301,205.31,22,205.31,205.3,205.31,29
2016-04-11 19:26:10,205.307,205.3,54,205.31,205.29,205.31,106
2016-04-11 19:26:15,205.314,205.32,69,205.32,205.31,205.31,203
2016-04-11 19:26:20,205.32,205.31,12,205.33,205.31,205.33,23
2016-04-11 19:26:25,205.31,205.31,0,205.32,205.31,205.31,0
2016-04-11 19:26:30,205.304,205.29,67,205.32,205.29,205.31,142
2016-04-11 19:26:35,205.29,205.29,14,205.3,205.29,205.29,22
2016-04-11 19:26:40,205.271,205.24,162,205.3,205.24,205.29,364
2016-04-11 19:26:45,205.22,205.2,319,205.28,205.19,205.24,641
2016-04-11 19:26:50,205.206,205.2,106,205.22,205.2,205.2,272
2016-04-11 19:26:55,205.208,205.21,25,205.21,205.2,205.21,33
2016-04-11 19:27:00,205.209,205.21,67,205.22,205.2,205.21,107
2016-04-11 19:27:05,205.201,205.19,55,205.22,205.19,205.21,94
2016-04-11 19:27:10,205.193,205.21,92,205.21,205.18,205.19,190
2016-04-11 19:27:15,205.2,205.19,126,205.22,205.19,205.2,295
2016-04-11 19:27:20,205.19,205.2,30,205.2,205.18,205.19,40
2016-04-11 19:27:25,205.183,205.19,144,205.2,205.17,205.2,369
2016-04-11 19:27:30,205.193,205.2,60,205.2,205.18,205.19,143
2016-04-11 19:27:35,205.192,205.18,32,205.2,205.17,205.2,52
2016-04-11 19:27:40,205.174,205.17,62,205.18,205.17,205.18,150
2016-04-11 19:27:45,205.165,205.17,39,205.18,205.16,205.18,51
2016-04-11 19:27:50,205.17,205.17,4,205.17,205.17,205.17,5
2016-04-11 19:27:55,205.166,205.16,26,205.18,205.16,205.17,43
2016-04-11 19:28:00,205.16,205.15,30,205.17,205.15,205.16,49
2016-04-11 19:28:05,205.163,205.18,16,205.18,205.15,205.16,29
2016-04-11 19:28:10,205.17,205.17,49,205.17,205.17,205.17,93
2016-04-11 19:28:15,205.165,205.17,56,205.18,205.16,205.17,133
2016-04-11 19:28:20,205.171,205.17,9,205.18,205.17,205.17,50
2016-04-11 19:28:25,205.172,205.17,17,205.18,205.17,205.17,34
2016-04-11 19:28:30,205.17,205.17,15,205.18,205.16,205.17,32
2016-04-11 19:28:35,205.168,205.17,4,205.17,205.16,205.16,5
2016-04-11 19:28:40,205.17,205.18,24,205.18,205.16,205.17,30
2016-04-11 19:28:45,205.17,205.17,16,205.18,205.16,205.17,16
2016-04-11 19:28:50,205.162,205.17,35,205.18,205.15,205.17,65
2016-04-11 19:28:55,205.179,205.17,19,205.18,205.17,205.17,40
2016-04-11 19:29:00,205.164,205.17,38,205.18,205.16,205.16,82
2016-04-11 19:29:05,205.18,205.18,2,205.18,205.18,205.18,2
2016-04-11 19:29:10,205.175,205.18,15,205.18,205.17,205.17,40
2016-04-11 19:29:15,205.166,205.17,30,205.18,205.16,205.18,33
2016-04-11 19:29:20,205.167,205.17,5,205.17,205.16,205.16,7
2016-04-11 19:29:25,205.168,205.17,16,205.18,205.16,205.16,35
2016-04-11 19:29:30,205.166,205.17,21,205.17,205.16,205.17,38
2016-04-11 19:29:35,205.174,205.17,24,205.18,205.16,205.17,112
2016-04-11 19:29:40,205.18,205.18,29,205.18,205.17,205.18,73
2016-04-11 19:29:45,205.177,205.18,7,205.18,205.17,205.18,9
2016-04-11 19:29:50,205.173,205.18,3,205.18,205.17,205.18,3
2016-04-11 19:29:55,205.188,205.18,53,205.2,205.18,205.18,84
2016-04-11 19:30:00,205.173,205.16,97,205.2,205.16,205.18,212
2016-04-11 19:30:05,205.17,205.17,14,205.17,205.17,205.17,14
2016-04-11 19:30:10,205.169,205.18,22,205.18,205.16,205.17,40
2016-04-11 19:30:15,205.169,205.17,84,205.18,205.16,205.18,179
2016-04-11 19:30:20,205.172,205.17,8,205.18,205.17,205.17,15
2016-04-11 19:30:25,205.175,205.18,4,205.18,205.17,205.17,4
2016-04-11 19:30:30,205.19,205.19,76,205.2,205.17,205.17,152
2016-04-11 19:30:35,205.203,205.21,44,205.21,205.2,205.2,112
2016-04-11 19:30:40,205.203,205.2,13,205.21,205.2,205.21,20
2016-04-11 19:30:45,205.194,205.19,4,205.2,205.19,205.19,14
2016-04-11 19:30:50,205.198,205.2,11,205.2,205.19,205.2,16
2016-04-11 19:30:55,205.2,205.2,8,205.21,205.2,205.2,12
2016-04-11 19:31:00,205.215,205.2,72,205.23,205.2,205.21,169
2016-04-11 19:31:05,205.203,205.2,13,205.21,205.2,205.21,35
2016-04-11 19:31:10,205.213,205.21,122,205.23,205.19,205.2,300
2016-04-11 19:31:15,205.216,205.22,39,205.22,205.2,205.21,62
